time_s,pwave_sw_us,pwave_aic_us,Vp_sw_km,Vp_aic_km
685.14,28.2,28.125,7.215874924834635,7.255139056831921
688.319,28.25,28.25,7.1899340922708195,7.1899340922708195
691.439,28.3,28.15,7.16417910447761,7.2420036210018095
694.562,28.325,28.1,7.151370679380213,7.268322228952148
697.716,28.325,28.1,7.151370679380213,7.268322228952148
700.86,28.275,28.05,7.177033492822966,7.294832826747718
704.021,28.3,28.075,7.16417910447761,7.28155339805825
707.132,28.1,28.05,7.268322228952148,7.294832826747718
710.174,28.225,28.1,7.202881152460981,7.268322228952148
713.277,28.15,28.0,7.2420036210018095,7.321537522879803
716.411,28.225,28.15,7.202881152460981,7.2420036210018095
719.559,28.125,28.05,7.255139056831921,7.294832826747718
722.72,28.175,27.975,7.2289156626506,7.334963325183371
725.808,28.0,27.95,7.321537522879803,7.348438456827923
728.934,28.125,28.05,7.255139056831921,7.294832826747718
732.08,28.15,28.05,7.2420036210018095,7.294832826747718
735.242,28.125,28.0,7.255139056831921,7.321537522879803
738.454,28.125,27.975,7.255139056831921,7.334963325183371
741.595,28.075,27.85,7.28155339805825,7.402837754472546
744.643,28.075,27.925,7.28155339805825,7.3619631901840465
747.674,28.05,27.875,7.294832826747718,7.389162561576352
750.712,28.125,27.825,7.255139056831921,7.41656365883807
753.757,28.0,27.925,7.321537522879803,7.3619631901840465
756.84,27.975,27.925,7.334963325183371,7.3619631901840465
759.913,28.075,27.9,7.28155339805825,7.375537799631222
762.975,27.95,27.875,7.348438456827923,7.389162561576352
766.043,28.0,27.8,7.321537522879803,7.43034055727554
769.188,27.925,27.8,7.3619631901840465,7.43034055727554
772.38,27.85,27.775,7.402837754472546,7.444168734491314
775.526,27.925,27.75,7.3619631901840465,7.4580484773151
778.644,27.85,27.725,7.402837754472546,7.471980074719798
781.799,28.0,27.85,7.321537522879803,7.402837754472546
784.978,27.9,27.775,7.375537799631222,7.444168734491314
