C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
Express-8 (r) Location Version 
Version V5.94

4/15/2026, 17:03:41

128            0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP  ABS-ENERGY
  1           23.6918745   6     1    10     1        58  52 267.327E+00
  1           23.7886700   1    32    18     4       132  57   1.003E+03
  1           23.7886745   3     9    17     5       175  61   1.489E+03
  1           23.7886920   2     1     2     0         7  54  82.704E+00
  1           23.7887045   6    40    14     2       102  54 478.309E+00
  1           23.8845290   1     1    14     3       135  55 667.860E+00
  1           23.8845335   3     9    17     4       175  58 968.713E+00
  1           23.8845540   2     1     2     0         4  51  31.138E+00
  1           23.8845725   6     1     8     1        72  52 273.638E+00
  1           23.9803870   1     1    18     4       135  57   1.020E+03
  1           23.9803915   3     9    18     5       175  61   1.507E+03
  1           23.9804090   2     1     3     0         7  53  82.757E+00
  1           23.9804215   6     1    13     2        81  54 448.982E+00
  1           24.0764380   1     1    13     3       132  55 637.447E+00
  1           24.0764395   3     9    15     4       175  58 975.261E+00
  1           24.0764570   2     1     2     0         7  54  69.455E+00
  1           24.0764785   6     1     8     1        47  52 237.032E+00
  1           24.1721810   1     9    16     4       166  57   1.015E+03
  1           24.1721855   3    10    17     5       169  60   1.394E+03
  1           24.1722000   2     1     2     0         7  55  82.573E+00
  1           24.1722165   6     1    13     2       115  53 491.207E+00
  1           24.2679260   1     9    12     3       132  55 646.292E+00
  1           24.2679305   3    10    16     4       169  59 921.091E+00
  1           24.2679450   2     1     2     0         7  53  64.593E+00
  1           24.2679695   6     1     8     1        47  51 233.640E+00
  1           24.3637500   1     1    18     4       135  57   1.019E+03
  1           24.3637545   3     9    18     5       175  61   1.501E+03
  1           24.3637720   2     1     2     0         7  54  69.972E+00
  1           24.3637935   6     1    13     2        93  54 456.914E+00
  1           26.7741490   1     1    13     3       132  55 645.040E+00
  1           26.7741505   3     9    16     4       172  59 958.004E+00
  1           26.7741710   2     1     2     0         7  51  49.031E+00
  1           26.7741925   6     1     9     1        47  52 233.673E+00
  1           26.8707080   1    32    17     4       128  57 997.587E+00
  1           26.8707145   3     3    18     5       169  61   1.427E+03
  1           26.8707380   2     1     1     0         1  50   0.000E+00
  1           26.8707455   6    11    14     2       115  54 493.133E+00
  1           26.9667600   1     9    12     2        43  55 539.837E+00
  1           26.9667645   3    10    15     4       169  58 931.291E+00
  1           26.9667955   6     1    10     1        55  52 259.440E+00
  1           27.0624970   1    32    18     3       113  57 963.635E+00
  1           27.0625015   3     9    18     5       175  61   1.492E+03
  1           27.0625190   2     1     2     0         7  52  64.260E+00
  1           27.0625315   6    40    14     2       102  54 480.547E+00
  1           27.1582530   1     9    12     3       132  55 651.229E+00
  1           27.1582575   3    10    15     4       169  59 917.683E+00
  1           27.1582780   2     1     1     0         1  50   0.000E+00
  1           27.1582965   6     1     9     1        47  51 233.844E+00
  1           27.2540970   1    11    17     4       168  57   1.047E+03
  1           27.2541035   3     3    17     5       169  60   1.397E+03
  1           27.2541240   2     1     1     0         4  52  39.901E+00
  1           27.2541345   6     1    13     2       115  54 485.306E+00
  1           27.3499660   1    12    14     3       129  55 641.573E+00
  1           27.3499675   3     9    17     4       172  59 969.095E+00
