C:\Users\USER\Desktop\all tests\Wang-04-15\1\1-hits.TXT
C:\Users\USER\Desktop\all tests\Wang-04-15\1\1-hits.TXT
Express-8 (r) Location Version 
Version V5.94

4/20/2026, 12:13:47

128            0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP  ABS-ENERGY
  1           68.8677805   3     1     2     0         1  46   0.000E+00
  1           68.9638455   1     1     9     1        47  50 148.979E+00
  1           68.9638455   3     1     4     0        62  48  91.331E+00
  1           71.4328575   1     1     6     0         7  48  20.432E+00
  1           71.4328575   3     1     3     0        59  45  51.970E+00
  1           71.5297115   1     1     9     0         7  49  32.471E+00
  1           71.5297545   3     1     3     0         1  46   0.000E+00
  1           71.6255505   1     1     5     0         1  48   0.000E+00
  1           71.7213835   1     1     9     1        47  49 149.581E+00
  1           71.7213835   3     1     6     0        62  48  93.506E+00
  1           71.8175865   1     1     1     0         4  46   8.029E+00
  1           71.9132245   3     1     4     0        47  48  66.461E+00
  1           71.9132305   1     1     7     0        41  50 122.501E+00
  1           72.0089965   3     1     2     0         1  46   0.000E+00
  1           72.1055715   1     1     9     1        47  49 146.725E+00
  1           72.1055715   3     1     3     0        62  48  89.807E+00
  1           74.5923935   1     1     1     0         1  45   0.000E+00
  1           74.6886505   1     1     9     1        47  49 146.777E+00
  1           74.6886505   3     1     4     0        47  48  62.888E+00
  1           74.7844795   1     1     6     0         7  47  19.785E+00
  1           74.8802925   1     1    10     0        21  49  70.227E+00
  1           74.8803355   3     1     3     0         1  46   0.000E+00
  1           74.9761545   3     1     2     0         1  45   0.000E+00
  1           74.9761825   1     1     2     0        13  46  22.106E+00
  1           75.0721875   3     1     5     0        47  48  63.755E+00
  1           75.0721935   1     1     8     1        44  49 127.031E+00
  1           75.1679415   1     1     5     0         4  47  10.004E+00
  1           75.1679415   3     1     3     0         4  45   6.648E+00
  1           75.2636975   1     1     9     1        47  49 148.429E+00
  1           75.2636975   3     1     4     0        62  48  88.181E+00
  1           77.8016005   1     1     6     0         4  47  10.428E+00
  1           77.8016005   3     1     2     0        59  46  52.851E+00
  1           77.8984445   1     1     9     1        47  49 149.068E+00
  1           77.8984445   3     1     4     0        47  48  62.890E+00
  1           77.9943135   3     1     3     0         1  46   0.000E+00
  1           77.9943535   1     1     1     0         1  45   0.000E+00
  1           78.0903505   1     1     9     1        50  49 158.190E+00
  1           78.0903535   3     1     4     0        47  48  62.697E+00
  1           78.1861485   1     1     6     0         4  48  10.956E+00
  1           78.2818405   1     1    10     1        50  50 155.123E+00
  1           78.2818405   3     1     5     0        47  48  64.237E+00
  1           78.3776795   1     1     6     0         4  47   8.426E+00
  1           78.4735335   1     1     8     1        42  49 126.436E+00
  1           78.4735375   3     1     4     0         1  48   0.000E+00
  1           80.9983805   3     1     2     0         1  46   0.000E+00
  1           80.9983835   1     1     5     0        41  48  81.844E+00
  1           81.0944585   1     1    10     1        50  50 158.300E+00
  1           81.0944615   3     1     5     0        59  49  85.786E+00
  1           81.1913155   3     1     2     0        44  46  35.533E+00
  1           81.1913185   1     1     5     0         1  47   0.000E+00
  1           81.2870545   1     1     9     1        47  49 150.471E+00
  1           81.2870545   3     1     4     0        62  48  86.513E+00
  1           81.3828315   3     1     3     0         1  46   0.000E+00
  1           81.3828345   1     1     5     0        41  47  79.497E+00
  1           81.4787615   1     1     9     1        47  49 147.934E+00
  1           81.4787645   3     1     4     0        59  49  78.444E+00
  1           81.5745265   3     1     2     0         1  45   0.000E+00
  1           81.5745295   1     1     5     0        38  48  73.892E+00
  1           81.6713925   1     1    10     0        27  49  92.182E+00
  1           81.6713955   3     1     4     0        65  48  95.228E+00
  1           84.1503795   3     1     2     0         1  45   0.000E+00
  1           84.1504195   1     1     1     0         4  46   8.807E+00
  1           84.2472165   1     1     9     1        47  49 148.357E+00
  1           84.2472165   3     1     5     0        62  48  92.498E+00
  1           84.3430725   3     1     2     0         1  46   0.000E+00
  1           84.3431155   1     1     1     0         1  45   0.000E+00
  1           84.4389295   1     1     9     0        24  49  83.288E+00
  1           84.4389325   3     1     4     0        59  48  80.166E+00
